ID,"Are you an UG, PGT, PGR or Academic Staff?","Have you heard of the term ""Smart Building""?",Did you know before this form that the USB is a Smart Building?,How many days a week do you spend any time in the USB?,"When you're in the USB, where do you work?","If you don't spend time at the USB, where do you work on campus?",Is there any reason you don't choose to spend time in the USB?,Have you heard of the Urban Observatory?,"Do you believe Smart Building technology has a strong impact on Climate Change? 1 suggests it has no impact, whilst 5 suggests it has a strong impact.",Please give a reason for your rating.,"Do you have any concerns about your data being tracked through the use of Smart Building technology (e.g. rooms sensing for occupancy)? 1 for no concerns around data tracking, 5 for very concerned...","Do you think knowing statistics about a room, such as its temperature, or CO2 level is beneficial to you when choosing a space to work in? 1 for not beneficial, 5 for very beneficial.","Is Smart Building technology, that is being used to help increase energy efficiency, something you think is important? 1 for not important, 5 for very important.","There are developments in the research area that could result, in addition to using sensors around a building, using other personal technology to connect with a Smart Building network. Does the in…","If all data remained private but it made a positive impact on your household bills, by showing you, for example where rooms were too warm or too cold, would you implement Smart Building technology...","If relevant data was disclosed to energy companies but it made a positive impact on your household bills, by proving your home was energy efficient, would you implement Smart Building technology i...","How do you feel about occupancy sensors for rooms/areas used by one, or very few individuals?","How do you feel about occupancy sensors for rooms/areas used by large groups, such as the Flat Floor Teaching Space?",How do you feel about CO2 sensors for rooms/areas to detect the level of CO2 in a room?,"How do you feel about temperature sensors for rooms/areas to detect the temperature, and control the heating, of a room?",How do you feel about light sensors for rooms/areas to measure the brightness of a room?,How do you feel about humidity sensors for rooms/areas to measure water vapour levels in a room?,"If you were constructing a new building, would you consider implementing Smart Building technology?",Please explain your choice.,"If you were thinking about implementing Smart Building technology, into either a new building, or renovating an existing structure, would a program to give suggestions on what to include, based on...",Please explain your choice.2,"If an incident involving a Smart Building, such as a water leak that damaged infrastructure, what would you want/expect the building to do in this scenario to maintain security and safety within t...","Is there anything you think could be improved within Smart Building Technology? This could be new metrics to measure, or to help improve efficiency etc."
39,UG,Yes,Yes,2 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Group Study Spaces (Large tables with 8-10 chairs);Atrium;",,,Yes,4.00,The information collected by the sensors can be used to become more energy efficient and reduce the building's carbon footprint,1.00,2.00,5.00,3.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,Yes,The technology can be used to make the building more energy efficient,Yes,Feedback on what the building's users think should be included would be useful,Emergency shutdown of sensors to prevent electrical damage,"I find that the rooms inside the USB usually don't adjust their temperature according to the climate (i.e. the rooms are often cold in the winter and warm in the summer) even when there are a lot of people in the room. I think smart building technology should adjust room temperature based on not just whether the room is occupied, but also the temperature outside the building."
40,PGT,Yes,Yes,5 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Lecture Theatre;Group Study Spaces (Large tables with 8-10 chairs);",I don't work on campus;,,Yes,4.00,-,4.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,Yes,-,Yes,-,-,-
41,PGT,Yes,Yes,3 days,Open Lab;,I don't work on campus;,,Yes,4.00,Smart buildings have been integrated with technology that is more energy efficient ,1.00,4.00,5.00,2.00,5.00,4.00,4.00,4.00,5.00,4.00,4.00,5.00,Yes,More energy efficient ,Yes,To better inform people ,Successfully alert people depending on the severity of the circumstance,Measure of bacteria in the air/ something related to cleanliness of air/surroundings 
42,UG,Yes,Yes,3 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Café;Lecture Theatre;",,"distance, space in building",Yes,2.00,Majority of climate change is caused by sectors such as transport and office buildings have a negligible effect.,4.00,4.00,3.00,5.00,2.00,1.00,1.00,3.00,5.00,5.00,5.00,5.00,Yes,Helps improve the building performance,Yes,Guidance would be welcome,Ensure all essential features were isolated with manual non smart backup procedures are enabled to ensure safety. ,Ensure privacy is maintained and every feature is clearly explained and has solid justifications for why it is required.
43,Academic Staff,Yes,Yes,5 days,"Offices (e.g. EPiC space 2.038);Large Meeting Rooms (e.g. 3.032);Meeting Spaces (e.g. 3.029, with couches and small tables);Lecture Theatre;Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Open Lab (large open plan office);",,,Yes,2.00,"Smart buildings have the potential to adjust systems (e.g., heating/cooling) when they are needed and reduce their use when they are not. When those systems are working properly. However, running additional sensors and systems adds to the electrical usage of the building. It is unclear to me, as a building occupant and employee, if this trade-off is a net benefit or not. I want it to be.",3.00,2.00,5.00,5.00,5.00,3.00,4.00,5.00,5.00,5.00,4.00,4.00,Yes,"When it works, i think it has potential for positive and efficient changes. I am also convinced as a home user, because, when money is available, I am installing smart technology in my home and coordinating it using Home Assistant.",Yes,"For someone who is not familiar with what technologies are available, this would of course be beneficial. People who are familiar with specific or categories of technology will not benefit hugely.","Identify the source of the leak, warn occupants for homes or responsible managers for office, and have the ability to turn off at-risk electrics that are deemed low priority or high risk (though mediated, as it would be annoying for a fault in the system to turn off our computers when there is no issue/risk!",An easier way to make people aware of the current/historical data of each room or whole building. Going to a website is not ideal as people forget or cannot find the information. It is not integrated into the essence of the business and occupants. Perhaps having the room booking system that can indicate that a room gets uncomfortably warm if you book it with 5 or more people at certain times of the year.
44,UG,Yes,Yes,5 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Group Study Spaces (Large tables with 8-10 chairs);",,,Yes,2.00,"Smart buildings are more energy efficient, but they are not practical to scale up to have enough smart buildings across the country and globally for it to have a strong impact on climate change, mostly due to cost.",1.00,3.00,3.00,2.00,4.00,4.00,3.00,1.00,3.00,4.00,2.00,4.00,Yes,The technology clearly has advantages for energy efficiency is you can afford it.,Yes,"I have no idea about implementing smart building technology, so some help would be nice.",Maybe for the nearby electrical equipment to shut off? Or for there to be a non-smart backup for things like opening windows.,I don't think so.
45,UG,Yes,Yes,3 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Lecture Theatre;",I don't work on campus;,I prefer working independently at home in a quiet space.,Yes,3.00,"The data has the potential to be used to impact on climate change, but the use of the data to combat climate change is not widely publicised. There doesn't seem to be much data in the public domain suggesting the impact of smart building technology on climate change is significant.",2.00,3.00,5.00,4.00,5.00,4.00,2.00,4.00,3.00,5.00,5.00,3.00,Yes,"Improving energy efficiency using heat sensors could lower bills for the occupants, which is very important in a cost of living crisis.",Yes,"Suggestions would need to be made impartially, not by people with commercial interests, but suggestions of what to include would be useful for those with limited knowledge about smart building technology.","The building should be able to identify the fault so that the appropriate engineers can be brought on site to fix the problem. A control panel with lights indicating the nature and/or location of the problem could be used to achieve this. Data collected during the incident, such as room temperatures during a heating outage, should be fed back to a control centre so that the extent and scale of the problem could be determined. This would allow an evacuation to be ordered quickly if the problem poses a danger to the building's occupants.","The ability to manually override the technology in order to correct faults. For example, when the USB suffered a leak in the plant room, some of the windows were stuck open due to a malfunction, making the building cold. If this setting could be overridden manually, the windows could be closed and temperature levels be maintained if a similar incident occurred in the future."
46,PGT,Yes,Yes,5 days,"Lecture Theatre;Meeting Spaces (e.g. 3.029, with couches and small tables);Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",Philip Robinson Library;,,No,5.00,The amount of data that can be collected can yield interesting results.,2.00,4.00,4.00,4.00,4.00,4.00,1.00,5.00,4.00,4.00,1.00,4.00,Maybe,Funding and budget might not match needs of that building,Yes,-,"An assesment of the danger of the incident, so that activities do not get interrumpted if there is a mild incident.",-
47,PGR,Yes,Yes,1 day,Offices (e.g. EPiC space 2.038);,,"I only spend 1d/week in USB because of its problems (limited hours, cold, few people to collaborate with, limited cafe hours, lack of real coffee now)",Yes,2.00,"There are many other things with much greater impact like reducing population, reducing eating meat and fish, reducing use of private transport, reducing energy use in homes, etc. Smart Buildings are meaningless in this, apart from publicity. A better initiative for the USB would be to increase occupancy of all university building and thus reduce the need to build, ventilate, and heat additional ones; the USB is severely underused. Count how many people are there hour by hour, by day 7d/week. Look at all the empty desks.",2.00,3.00,3.00,4.00,1.00,1.00,3.00,3.00,4.00,3.00,2.00,3.00,No,"The USB is often too cold. In Decemebr there were many days whne some rooms were even below 16C. So sYING SMART BUILDING TEMPERATURE SENSORS CAN BE USED TO CONTROL HEATING IS MEANINGLESS IF EITHER THEY DON'T OR THE HEATING DOESN'T HAVE CAPACITY TO DO SO. Ooops didn't mean to SHOUT in caps. Why can't we given the design air changes per hour data, and why not measure that too? The people sensors only indicate presence, not particular people, but your question wording doesn't explain this. Another terrible feature of the USDB is the front door which is locked at 1700 refardless of anything going on (eg a conference) OR IF SOMEONE IS HALF WAY THROUGH LKEADING THEM TO BE TRAPPED between the door (and then have to work out to press the green button which is not beside the door they want to use. The cafe is only open 7h/weekday.Most hours we have to use the crayy back door - why? When there was a tiny water leak near the back door the whole building had to be closed!",Maybe,It depends what the suggestions say. There's plenty of misinformation.,There are water leaks all the time! See the buckets. And recently there was small water leak near the leift wich forced the whole building to be closed. It needs to be more resilient.,The USB is not smart. It has some gadgets installed. The ventilation and heating do not provide a good working environment for the occupants.
48,UG,Yes,Yes,1 day,"Meeting Spaces (e.g. 3.029, with couches and small tables);Café;",Marjorie Robinson Library;Philip Robinson Library;,"The other study spaces in the university (main libraries, OLB, NUSU) always have a convenient place to sit down and work, but it feels like the USB doesn't. Also, it almost feels intrusive as the majority of students moving around the building are only there for lectures/labs. ",No,2.00,"In terms of data collection that could benefit climate change research, it seems quite data rich, information poor. While automatically turning off heating/electricity for unused rooms would be beneficial, I struggle to see how it would have a wider impact on the environment, especially if the other buildings in the area aren't doing the same thing.",1.00,1.00,4.00,3.00,3.00,2.00,3.00,5.00,2.00,4.00,4.00,2.00,Maybe,I would only do it if I knew it would benefit me financially (cost of smart building equipment vs energy savings in the long run).,Yes,"I think the people who most commonly would use the building should have a say in it. It's also important to hear perspectives from people whose intentions for this technology are based in everyday practicality, rather than just science/data collection.",I would expect the system to alert a member of faculty who would handle it manually. I would not expect it to change the status of the room on its on.,No.
49,PGT,Yes,No,4 days,"Group Study Spaces (Large tables with 8-10 chairs);Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Lecture Theatre;Café;Meeting Spaces (e.g. 3.029, with couches and small tables);",Frederick Douglass Centre;,,Yes,3.00,"depends on the energy consumption, gas emission and recycle",4.00,4.00,5.00,5.00,4.00,2.00,3.00,5.00,3.00,3.00,3.00,3.00,Yes,energy efficiency,Yes,need to know the specification of a room anyway,"stop the water leak, send notification to a maintainer", 
50,Academic Staff,Yes,Yes,3 days,Offices (e.g. EPiC space 2.038);,Philip Robinson Library;Marjorie Robinson Library;Frederick Douglass Centre;,,Yes,3.00,Strong potential (so would give it 5) but I'm not sure the data is used operationally so I score 3.,3.00,4.00,5.00,4.00,5.00,4.00,1.00,5.00,4.00,4.00,4.00,4.00,Yes,A natural choice to consider the tech.,Yes,Very useful suggestion.,"Provide warnings to teams as early as possible, and perhaps alert occupants automatically, or secure infrastructure (e.g. shut down servers).",Explainability of data to end users.
51,UG,Yes,Yes,3 days,"Group Study Spaces (Large tables with 8-10 chairs);Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",,"I prefer working alone and in my room, I only work in the USB if I have a tutorial or a break between classes",Yes,3.00,"I don't know how much extra work goes into building smart buildings, but if they work properly I assume they can regulate heating better.",1.00,2.00,4.00,4.00,4.00,2.00,3.00,3.00,4.00,4.00,1.00,3.00,Maybe,"Depends on the cost, and I would probably be worried about it being hacked.",Yes,I have no idea what Smart Home technology there is so having options would be nice,"Let me know there is a leak, automatically shut off the water for that pipe or the entire building, damage control basically",No
52,Academic Staff,Yes,Yes,5 days,Offices (e.g. EPiC space 2.038);Lecture Theatre;,The Catalyst;,Meeting rooms are hard to secure,Yes,4.00,"Optimize energy consumption, but heavier impact when not working properly",2.00,3.00,4.00,3.00,4.00,3.00,3.00,4.00,3.00,4.00,4.00,4.00,Maybe,"Again, potentially have a good impact on climate but can have very negative impact when not working properly. e.g. The system went down one day. I am working on a former meeting room without windows. No air was circulating that day such that I had to work from home not to suffocate.",Yes,"Well, to learn more about it","Open all access to ensure human safety first, which is somehow against fire prevention.","Hybrid version where human can interact with the system when incidents are occurring, paired with better understanding of features and functioning of the system."
53,Academic Staff,Yes,Yes,3 days,Offices (e.g. EPiC space 2.038);,,No temperature control after 6 pm on levels above 4 despite students and staff working; shared office spaces,Yes,3.00,"Unless users are educated in using the building efficiently (that is, knowing that temperature control automatically turns off when windows are opened), the climate impact of smart buildings will be limited. ",1.00,5.00,5.00,4.00,3.00,3.00,3.00,4.00,3.00,5.00,5.00,3.00,Yes,The technology itself is useful and can enable continued learning about better energy efficiency. The issue lies with lack of understanding in using and managing the technology.,Yes,"Transfer learning - that is, learning from other smart buildings with similar specifications - to benefit further implementations would certainly be useful.",Timely alerts and deactivation of some of the automatic controls to allow manual operations. ,"Better systems with GUI to allow users to clearly understand the different metrics, and provide suggestions for adjustments based on current settings. 

Determine the impact on accuracy of sensors' proximity to each other to record the same measurements (such as in open spaces) and improve sensor distancing accordingly. 

Understanding how placement of sensors away from windows impacts on recording of temperature (for example, sensors placed far away from windows in large offices record higher temperatures although the temperatures closer to the windows where the desks are located are actually lower). Inaccuracies in these measurements can have significant health impacts, not to mention reduced energy efficiency, especially in winter and summer months. 

Ability of smart building systems to share data that is useable and understandable to allow learning for future developments and further improvements. "
54,PGT,No,N/A,5 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Group Study Spaces (Large tables with 8-10 chairs);Lecture Theatre;",Marjorie Robinson Library;Philip Robinson Library;Frederick Douglass Centre;Business School;,"While the USB is convenient for studying between classes, I am neurodivergent and find the lights too bright and all spaces are too loud and filled with hustle and bustle. I like the lighting in 1.006, 3.005, and 3.015, but everywhere else is too intense.",No,3.00,All I know of smart building technology is what I read in that paragraph. It's not enough to form an idea.,2.00,3.00,5.00,4.00,2.00,1.00,5.00,5.00,3.00,4.00,5.00,4.00,Maybe,I don't know anything about building anything so I can't say what I would do.,Yes,More information could help me make better choices.,"I would hope that all buildings, Smart or simple, would prioritize the safety and privacy of users.",I do not understand the relevance of the CO2 detectors. 
